exp_id,video file,resolution,FPS,length(s),sim_threshold,face_cnt,min_csize,face_cloth_weights,use_merging,number of persons,total time(s),DBI
exp0133,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,8,"[1.0, 0.7]",False,10,40.073,1.5998799763479947
exp0134,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,8,"[1.0, 0.8]",True,7,40.395,1.856969195246445
exp0135,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,8,"[1.0, 0.8]",False,10,40.261,1.613987000644728
exp0136,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,8,"[1.0, 0.9]",True,6,40.498,1.8207303819051943
exp0137,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,8,"[1.0, 0.9]",False,8,41.208,1.7020865070258395
exp0138,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,8,"[1.0, 1.0]",True,6,41.077,1.8350337030409392
exp0139,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,8,"[1.0, 1.0]",False,7,41.487,1.830556207045568
exp0140,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,10,"[1.0, 0.3]",True,1,39.379,-10000000000.0
exp0141,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,10,"[1.0, 0.3]",False,9,39.086,1.4462362655778151
exp0142,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,10,"[1.0, 0.5]",True,4,41.508,2.510832541264282
exp0143,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,10,"[1.0, 0.5]",False,8,39.55,1.5512933333408414
exp0144,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,10,"[1.0, 0.6]",True,6,40.225,2.2221539738013534
exp0145,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,10,"[1.0, 0.6]",False,9,39.376,1.5588123849752604
exp0146,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,10,"[1.0, 0.7]",True,6,39.843,2.080055811402442
exp0147,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,10,"[1.0, 0.7]",False,9,40.015,1.6086894342435212
exp0148,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,10,"[1.0, 0.8]",True,6,40.192,1.8711197571119984
exp0149,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,10,"[1.0, 0.8]",False,8,40.437,1.6896244879464732
exp0150,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,10,"[1.0, 0.9]",True,5,40.353,1.8327096184306653
exp0151,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,10,"[1.0, 0.9]",False,6,40.017,1.8232175069779164
exp0152,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,10,"[1.0, 1.0]",True,6,42.257,1.835033709997048
exp0153,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,10,"[1.0, 1.0]",False,7,41.871,1.8305562057006808
exp0154,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,15,"[1.0, 0.3]",True,1,39.398,-10000000000.0
exp0155,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,15,"[1.0, 0.3]",False,9,39.701,1.4462362020185562
exp0156,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,15,"[1.0, 0.5]",True,4,39.815,2.25663274143862
exp0157,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,15,"[1.0, 0.5]",False,7,38.713,1.486459831071429
exp0158,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,15,"[1.0, 0.6]",True,5,38.641,1.5976344663206037
exp0159,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,15,"[1.0, 0.6]",False,7,38.178,1.5259715160375742
exp0160,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,15,"[1.0, 0.7]",True,6,39.328,1.836522574239568
exp0161,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,15,"[1.0, 0.7]",False,8,39.118,1.637080938056748
exp0162,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,15,"[1.0, 0.8]",True,6,40.217,1.8711197329406248
exp0163,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,15,"[1.0, 0.8]",False,8,40.242,1.6896245421050926
exp0164,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,15,"[1.0, 0.9]",True,5,40.427,1.8327096098510047
exp0165,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,15,"[1.0, 0.9]",False,6,41.347,1.823217550025392
exp0166,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,15,"[1.0, 1.0]",True,6,42.287,1.83503375970725
exp0167,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,15,"[1.0, 1.0]",False,7,41.781,1.830556207045568
exp0168,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,5,"[1.0, 0.3]",True,1,41.319,-10000000000.0
exp0169,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,5,"[1.0, 0.3]",False,12,41.068,1.400020378983064
exp0170,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,5,"[1.0, 0.5]",True,4,43.061,2.9476355754875687
exp0171,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,5,"[1.0, 0.5]",False,12,41.388,1.4427223846000163
exp0172,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,5,"[1.0, 0.6]",True,7,41.403,2.1005200018102235
exp0173,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,5,"[1.0, 0.6]",False,11,40.777,1.499214513298267
exp0174,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,5,"[1.0, 0.7]",True,7,41.213,1.9754285231930264
exp0175,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,5,"[1.0, 0.7]",False,11,40.671,1.532111332587089
exp0176,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,5,"[1.0, 0.8]",True,9,41.578,1.8856364227085989
exp0177,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,5,"[1.0, 0.8]",False,13,41.997,1.5439950935448832
exp0178,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,5,"[1.0, 0.9]",True,7,42.418,1.7282078582948646
exp0179,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,5,"[1.0, 0.9]",False,10,42.794,1.6246471344828488
exp0180,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,5,"[1.0, 1.0]",True,7,42.893,1.7271954524805315
exp0181,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,5,"[1.0, 1.0]",False,8,42.639,1.7281358988664048
exp0182,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,8,"[1.0, 0.3]",True,1,40.539,-10000000000.0
exp0183,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,380,8,"[1.0, 0.3]",False,9,40.886,1.446236215625364
